KNO_ID,ADRESSE_STRASSE,ADRESSE_ORTSTEIL,ADRESSE_POSTLEITZAHL,BEZIRK,DIENSTSTELLE,DUEKER,GEFAEHRDETER_KANAL,GEFAELLE,KANALSYSTEM,LAENGE,LAGE,MATERIALART,PROFILBREITE,PROFILHOEHE,PUMPWERK,SCHILDER_BENOETIGT,SONDERKANAL,WASSERSCHUTZZONE_ZONE,ATMOSPHAERE_SAUERSTOFFMANGEL,ATMOSPHAERE_SCHWEFELWASSERSTOFF,ATMOSPHAERE_METHAN,ATMOSPHAERE_ANDEREGEFAEHRDUNG,ATMOSPHAERE_BEMERKUNG,STILLGELEGT,ATMOSPHAERE_ASBESTZEMENT,ANZAHL_ABZWEIGE,BAUJAHR,BEARBEITER_NAME,BEARBEITER_ZEITPUNKT,BEMERKUNGEL,BUCHUNGSNUMMER_TYP,BUCHUNGSNUMMER_TEXT,ABLAGERUNGEN_FEINESMATERIAL,ABLAGERUNGEN_GROBESMATERIAL,ABLAGERUNGEN_HARTESMATERIAL,ABLAGERUNGEN_ANDERESMATERIAL,ABLAGERUNGEN_KATZENSTREU,ABLAGERUNGEN_LUMPEN,ABLAGERUNGENSTAND_VERSTOPFUNG,ABLAGERUNGENSTAND_PROZENT,ABLAGERUNGENSTAND_HOEHE,ABLAGERUNGENSTAND_SAND,ANHAFTENDESTOFFE_INKRUSTATION,ANHAFTENDESTOFFE_FETT,ANHAFTENDESTOFFE_FAEULNIS,ANHAFTENDESTOFFE_ANDERERSTOFF,ANHAFTENDESTOFFE_WASSERSTEIN,ANHAFTENDESTOFFE_OEL,EMPFOHLENE_REINIGUNGSKLASSE,GERUCHSBELAESTIGUNG,ORIGINAL_REINIGUNGSKLASSE,RATTENBEFALL_FESTGESTELLT,REINIGUNG_GEREINIGT,REINIGUNG_GERAEUMT,REINIGUNG_GERAEUMTE_MENGE,WASSERSTAND_WASSERAUSTRITT,WASSERSTAND_WENIGFLUSS,WASSERSTAND_PROZENT,WASSERSTAND_HOEHE,UNTERLAUFVERSTOPFUNG,REINIGUNG_RAEUMZEITPUNKT,ABLAGERUNGEN_LAUB,UNZULAESSIGE_EINLEITUNG
111.50.244.137/18,4695 Amoth Place,Tennessee,37924,TN,Knoxville,1,true,13.05,,3729,Gehweg,Stein,300,100,HPW SCHOE Schöneberg Königstr.,true,true,false,false,true,false,true,"",false,false,2,1999,,19.4.2016,,,,true,true,true,false,true,false,false,34,7.2,24.61,true,false,true,false,true,true,5,true,4,false,true,true,37,true,false,57,25,false,9.11.2002,true,true
57.112.185.19/10,3 Grover Way,Arizona,85311,AZ,Glendale,1,true,7.26,,1507,Gehweg,Ziegel,300,300,HPW SCHOE Schöneberg Königstr.,true,false,false,true,true,true,false,Schlecht,true,true,2,1992,,26.4.2016,,,,true,true,false,false,false,false,false,38,22.5,25.7,false,true,true,true,true,true,1,true,0,true,false,false,20,false,true,24,96,true,15.7.1991,false,false
91.136.100.252/29,49 Lighthouse Bay Pass,Washington,98158,WA,Seattle,0,true,7.78,,3856,Strasse,Ziegel,100,200,HPW SCHOE Schöneberg Königstr.,true,false,false,true,false,false,false,Keine Bemerkung,true,false,4,1992,,18.2.2016,,,,true,false,false,false,true,true,true,72,11.8,21.2,true,true,true,true,true,true,5,false,4,false,false,false,37,false,true,4,43,false,3.2.1993,true,false
53.13.167.173/25,70 Heath Circle,Minnesota,55127,MN,Saint Paul,0,true,17.0,,271,Strasse,Stein,500,200,HPW WEG Wedding Otawistr.,false,false,false,false,false,false,true,Etwas nötig,true,false,0,204,,10.7.2017,,,,true,false,false,false,false,true,false,50,0.6,24.27,false,true,false,true,false,true,1,false,1,false,false,true,30,false,false,6,16,true,15.8.2007,false,true
83.235.24.222/30,497 Vernon Place,Georgia,31605,GA,Valdosta,0,false,0.96,,4131,Industrie,Beton,500,500,HPW KAR Karow Pankgrafenstr.,false,true,false,false,true,false,false,Etwas nötig,true,true,3,1992,,4.12.2015,,,,true,true,true,false,false,true,true,95,4.7,26.6,false,false,true,true,true,true,1,true,1,false,true,true,5,true,true,78,28,true,5.2.2010,true,true
209.96.63.252/28,73465 Melody Drive,California,92191,CA,San Diego,1,false,7.99,,1712,Strasse,Ziegel,400,300,HPW SCHOE Schöneberg Königstr.,true,true,false,false,true,true,true,"",false,false,1,1999,,27.2.2016,,,,false,false,false,false,false,false,false,67,16.1,25.02,false,false,false,false,true,true,2,true,4,true,true,true,25,true,true,14,80,false,22.7.1996,false,false
213.61.235.241/26,3491 Carberry Street,Minnesota,55127,MN,Saint Paul,1,true,4.72,,1820,Industrie,Beton,300,200,HPW SCHOE Schöneberg Königstr.,false,true,true,true,false,false,false,Schlecht,false,false,4,1990,,7.4.2016,,,,false,true,false,true,false,true,false,17,3.0,15.35,true,false,true,false,false,false,5,true,0,false,true,false,35,false,false,57,49,false,19.6.1996,false,false
177.79.148.226/24,4 Rieder Alley,West Virginia,25326,WV,Charleston,0,false,15.0,,1430,Strasse,Stein,100,300,HPW SCHOE Schöneberg Königstr.,false,true,true,false,false,true,false,"",false,true,1,1992,,3.4.2016,,,,false,true,false,false,false,true,false,27,16.6,6.14,false,true,false,true,true,false,5,true,5,false,true,true,14,false,false,22,43,false,8.9.2004,false,false
95.35.225.250/27,412 Nelson Junction,Pennsylvania,15279,PA,Pittsburgh,0,true,8.11,,1981,Gehweg,Stein,500,400,HPW SCHOE Schöneberg Königstr.,false,false,true,false,false,false,false,"",true,false,3,204,,10.10.2015,,,,true,true,true,true,true,true,false,84,29.7,27.21,true,false,false,true,true,true,0,true,0,false,true,true,36,true,false,71,29,false,9.7.2004,false,false
220.185.109.89/22,322 Old Shore Way,New Mexico,87592,NM,Santa Fe,1,true,8.43,,3039,Gehweg,Ziegel,200,200,HPW WEG Wedding Otawistr.,true,true,true,true,false,true,false,"",false,false,3,204,,18.8.2016,,,,false,true,false,false,true,false,true,77,14.1,29.64,false,true,false,true,true,true,2,true,0,true,true,true,31,false,true,44,88,true,2.4.2010,true,false
164.185.236.213/13,823 Village Center,Oklahoma,73167,OK,Oklahoma City,0,false,4.2,,1965,Industrie,Stein,100,400,HPW WEG Wedding Otawistr.,false,false,true,true,false,true,false,Etwas nötig,false,true,3,204,,16.1.2016,,,,true,false,false,true,false,true,true,84,24.3,12.06,false,false,false,true,true,true,2,false,3,true,true,false,12,true,true,16,11,false,11.10.1995,false,true
169.193.179.222/29,81 Eliot Drive,Ohio,44905,OH,Mansfield,0,false,9.89,,2534,Industrie,Beton,300,500,HPW WEG Wedding Otawistr.,false,true,false,false,false,true,true,Keine Bemerkung,false,true,1,204,,31.10.2016,,,,false,false,true,true,false,false,true,70,13.9,18.32,false,true,false,false,false,true,3,true,5,false,false,true,33,false,true,39,81,true,31.1.2008,true,true
219.123.123.215/25,22 Red Cloud Place,District of Columbia,20337,DC,Washington,1,true,16.32,,2908,Fahrbahn,Ziegel,300,200,HPW KAR Karow Pankgrafenstr.,true,true,false,false,false,false,false,Schlecht,false,true,1,1999,,19.1.2016,,,,false,false,true,false,true,true,true,38,19.5,2.91,false,false,true,false,true,false,1,true,3,false,false,true,37,false,false,75,73,true,26.3.2005,false,false
26.13.211.21/22,386 Paget Hill,Arizona,85020,AZ,Phoenix,0,false,1.53,,3821,Gehweg,Mauerwerk,100,200,HPW SCHOE Schöneberg Königstr.,false,false,true,true,true,false,false,"",true,true,1,1992,,30.10.2015,,,,true,false,true,false,true,false,false,87,1.8,29.97,false,true,true,true,true,false,0,true,1,true,true,true,0,true,false,2,56,true,2.2.2001,false,true
128.151.241.126/28,89614 Coleman Plaza,Georgia,31405,GA,Savannah,1,true,8.31,,2365,Gehweg,Mauerwerk,300,100,HPW SCHOE Schöneberg Königstr.,true,false,false,true,false,true,true,Etwas nötig,false,false,1,1995,,31.12.2015,,,,true,true,false,false,false,true,true,34,21.1,0.56,false,true,false,true,false,true,0,true,2,false,true,false,15,false,false,65,4,false,17.2.2002,false,true
184.92.178.211/31,6 Vernon Point,Florida,32595,FL,Pensacola,0,false,11.24,,4321,Gehweg,Beton,100,400,HPW SCHOE Schöneberg Königstr.,false,false,false,false,false,false,false,Keine Bemerkung,false,true,4,1999,,29.1.2016,,,,true,true,true,true,true,false,true,57,23.6,25.92,true,false,true,false,false,true,5,true,1,false,true,false,5,false,true,33,19,false,18.8.1993,false,false
216.73.119.5/24,4 Quincy Street,Texas,77223,TX,Houston,1,false,9.99,,1370,Gehweg,Beton,100,200,HPW WEG Wedding Otawistr.,true,true,true,false,true,true,false,Keine Bemerkung,true,true,1,1995,,20.5.2017,,,,true,true,false,true,true,false,false,7,17.4,7.08,true,false,true,false,true,false,2,true,3,false,false,true,9,true,false,4,16,true,15.3.1994,true,true
17.233.77.148/10,60 Stoughton Plaza,Washington,98411,WA,Tacoma,0,true,18.58,,1361,Strasse,Stein,300,100,HPW WEG Wedding Otawistr.,false,true,true,false,false,true,false,Schlecht,false,false,4,1990,,18.1.2016,,,,true,true,false,false,false,true,true,23,8.5,11.55,true,true,false,false,false,true,3,true,0,true,false,true,34,true,false,41,28,false,3.5.2003,true,false
174.42.101.9/28,1 Schmedeman Hill,Florida,32128,FL,Daytona Beach,0,true,1.36,,3698,Fahrbahn,Mauerwerk,400,100,HPW KAR Karow Pankgrafenstr.,false,false,false,false,false,true,true,Schlecht,true,true,4,1995,,8.8.2015,,,,false,false,false,false,true,false,true,79,12.9,27.25,true,false,false,false,true,false,0,false,3,true,true,false,19,false,false,15,2,true,12.8.1999,false,true
216.6.210.210/31,9111 Hanson Street,Tennessee,37405,TN,Chattanooga,1,true,0.22,,4413,Fahrbahn,Ziegel,300,500,HPW SCHOE Schöneberg Königstr.,true,false,false,true,true,true,true,Etwas nötig,false,false,3,204,,11.2.2016,,,,true,false,false,false,true,true,false,70,15.3,15.6,true,false,false,false,true,false,0,true,4,true,true,false,16,true,true,23,7,true,13.5.2000,true,true
100.88.118.136/21,6233 Merchant Drive,Wisconsin,53277,WI,Milwaukee,1,false,17.98,,406,Gehweg,Beton,500,400,HPW SCHOE Schöneberg Königstr.,true,false,true,false,true,false,false,Keine Bemerkung,false,true,2,1999,,17.4.2017,,,,true,true,true,true,true,true,true,34,7.1,23.09,true,true,true,false,false,false,1,true,0,true,false,true,18,true,true,6,4,true,21.11.1994,false,false
143.95.148.172/31,028 Almo Crossing,New York,11054,NY,Port Washington,1,true,11.7,,2156,Gehweg,Ziegel,100,300,HPW WEG Wedding Otawistr.,false,false,true,false,false,false,true,"",true,false,0,204,,6.5.2016,,,,true,false,true,true,false,true,false,15,25.4,12.12,true,false,true,true,false,false,4,false,0,false,false,false,2,false,false,29,31,true,7.10.2002,true,false
12.181.41.44/20,6362 Moose Drive,Georgia,30919,GA,Augusta,1,true,16.01,,1441,Strasse,Ziegel,100,300,HPW WEG Wedding Otawistr.,false,false,false,true,false,true,true,"",true,true,0,1999,,17.3.2017,,,,true,false,false,false,false,false,true,61,12.0,16.12,true,true,true,true,false,false,5,true,4,true,true,true,45,true,false,38,83,true,16.1.2003,true,true
47.118.223.106/19,389 Forest Run Way,Florida,33994,FL,Fort Myers,1,true,3.41,,3044,Gehweg,Mauerwerk,200,100,HPW WEG Wedding Otawistr.,false,true,false,false,false,true,true,Etwas nötig,false,false,4,1992,,11.3.2016,,,,false,false,false,true,true,true,true,22,25.5,3.06,false,true,false,false,true,false,3,true,0,true,true,true,50,false,true,7,90,false,26.2.1991,true,false
115.147.101.222/20,4 Cody Trail,North Carolina,28256,NC,Charlotte,1,false,6.66,,1295,Strasse,Ziegel,300,200,HPW SCHOE Schöneberg Königstr.,true,false,true,false,false,true,true,Schlecht,false,false,3,1999,,7.2.2016,,,,false,true,false,false,true,true,true,98,20.5,11.49,false,false,false,false,true,true,4,true,3,false,false,true,37,false,true,54,90,true,29.3.1991,false,false
233.107.39.138/28,685 Shasta Parkway,North Carolina,27690,NC,Raleigh,1,false,8.87,,4230,Gehweg,Mauerwerk,200,300,HPW KAR Karow Pankgrafenstr.,false,true,false,false,false,true,false,Etwas nötig,true,true,1,1995,,4.6.2016,,,,true,true,false,true,false,false,true,53,21.3,10.53,false,false,false,true,true,true,0,false,3,false,false,false,44,true,false,69,78,true,25.8.2008,false,false
105.110.151.189/14,89443 Grasskamp Center,California,90305,CA,Inglewood,1,false,19.92,,1162,Industrie,Beton,300,300,HPW SCHOE Schöneberg Königstr.,false,true,false,true,true,true,true,"",false,true,4,204,,28.9.2016,,,,false,false,true,false,true,true,false,49,25.5,17.23,true,true,false,false,true,false,1,true,1,false,false,false,18,false,true,46,22,false,26.10.1998,true,true
35.174.162.253/24,22690 Sachtjen Way,New York,10019,NY,New York City,0,false,8.88,,1105,Gehweg,Mauerwerk,200,500,HPW WEG Wedding Otawistr.,false,false,false,false,true,false,false,Keine Bemerkung,false,false,0,1999,,22.8.2015,,,,true,false,false,true,false,false,true,49,19.0,3.65,true,false,true,false,true,false,2,false,0,true,true,false,2,true,true,8,43,true,16.4.1996,true,false
9.69.105.65/9,07609 Red Cloud Point,Utah,84110,UT,Salt Lake City,0,true,13.07,,161,Gehweg,Beton,100,400,HPW WEG Wedding Otawistr.,true,false,true,true,true,true,false,Etwas nötig,true,false,2,1995,,3.10.2015,,,,false,false,true,false,true,true,false,7,28.0,0.32,false,false,false,true,false,true,0,true,4,true,false,false,45,true,true,64,3,false,2.4.1995,true,true
202.145.253.133/18,0 Brown Hill,New York,13224,NY,Syracuse,1,true,2.95,,3227,Strasse,Mauerwerk,400,100,HPW KAR Karow Pankgrafenstr.,false,true,true,false,false,false,true,Etwas nötig,false,true,2,1995,,9.11.2015,,,,false,true,false,false,true,false,false,38,1.7,12.7,true,true,false,true,false,false,5,false,5,false,false,false,11,true,false,8,14,true,17.3.1995,false,false
187.9.121.69/1,1436 Warner Alley,Georgia,30343,GA,Atlanta,1,true,4.61,,4145,Strasse,Ziegel,300,500,HPW SCHOE Schöneberg Königstr.,true,true,false,true,false,true,false,Keine Bemerkung,true,true,1,1992,,17.7.2016,,,,true,true,true,false,true,true,true,26,6.9,3.43,true,true,true,true,false,true,4,true,0,true,true,false,21,false,true,4,62,false,20.1.2005,true,false
177.50.68.208/9,16 Pepper Wood Junction,Massachusetts,02124,MA,Boston,0,true,6.06,,3657,Gehweg,Beton,500,400,HPW KAR Karow Pankgrafenstr.,true,true,true,false,true,true,false,Etwas nötig,false,false,3,1992,,31.1.2017,,,,true,true,false,false,true,true,true,70,0.8,14.76,false,false,true,false,true,false,2,true,0,false,true,true,12,true,true,1,87,false,18.10.2006,true,false
61.167.232.24/13,66 Kedzie Place,Florida,33023,FL,Hollywood,0,true,14.85,,2903,Gehweg,Beton,300,100,HPW SCHOE Schöneberg Königstr.,true,false,true,true,false,false,true,"",false,false,3,1992,,29.12.2016,,,,false,true,false,false,false,true,true,92,26.6,7.66,false,true,true,true,false,true,2,true,3,true,true,false,33,false,false,41,52,false,31.3.2009,false,false
245.141.24.222/4,8414 Forest Drive,Colorado,80217,CO,Denver,1,false,4.83,,3935,Fahrbahn,Ziegel,200,400,HPW KAR Karow Pankgrafenstr.,false,true,false,true,true,true,false,Keine Bemerkung,true,true,4,1990,,6.4.2017,,,,false,false,true,false,false,true,true,64,20.4,10.73,true,true,false,true,false,true,1,false,5,true,true,true,20,true,false,76,61,true,17.10.1998,true,true
24.188.17.203/27,3 Hauk Pass,Massachusetts,02458,MA,Newton,0,false,14.37,,1746,Fahrbahn,Stein,200,200,HPW WEG Wedding Otawistr.,false,true,true,false,true,false,false,Keine Bemerkung,false,true,4,1995,,23.7.2015,,,,true,true,false,false,true,true,false,50,1.8,18.81,false,true,false,true,true,false,3,false,3,true,true,false,43,true,true,35,20,true,30.11.1991,false,true
10.251.55.69/18,1 Manley Plaza,Texas,77305,TX,Conroe,0,false,9.2,,2154,Strasse,Stein,500,500,HPW WEG Wedding Otawistr.,true,true,false,false,false,false,false,Schlecht,true,false,1,204,,27.7.2016,,,,true,false,true,true,true,false,true,19,19.2,5.69,false,true,false,true,true,true,2,false,1,true,false,true,26,false,false,50,25,false,14.2.1991,true,true
94.249.152.116/10,635 Fuller Terrace,Texas,77055,TX,Houston,0,true,11.68,,2941,Strasse,Ziegel,500,500,HPW WEG Wedding Otawistr.,false,true,true,true,false,true,true,Etwas nötig,true,true,3,1992,,24.6.2016,,,,false,false,true,true,true,false,true,16,5.2,6.36,true,false,false,true,false,false,1,true,1,false,true,true,20,true,false,76,18,false,13.10.1994,true,false
71.127.170.187/9,810 Hauk Circle,Florida,34620,FL,Clearwater,1,true,5.03,,4004,Gehweg,Beton,400,200,HPW KAR Karow Pankgrafenstr.,true,false,false,true,true,true,true,"",false,true,3,1995,,12.6.2016,,,,false,true,false,false,false,true,false,80,3.0,16.73,false,true,false,false,true,false,0,false,5,false,true,false,3,false,true,14,5,true,28.5.2001,false,false
96.252.208.95/14,6885 Stoughton Terrace,District of Columbia,20088,DC,Washington,0,true,8.34,,4144,Strasse,Stein,300,200,HPW SCHOE Schöneberg Königstr.,true,false,true,false,true,true,true,Keine Bemerkung,false,false,2,1999,,28.6.2017,,,,true,false,false,true,false,false,false,12,3.7,26.94,false,true,false,true,true,false,0,false,1,true,true,true,38,false,true,52,56,true,19.4.1994,true,true
81.98.63.115/16,9705 Northview Junction,California,95064,CA,Santa Cruz,1,false,6.66,,3957,Fahrbahn,Stein,200,300,HPW KAR Karow Pankgrafenstr.,false,false,true,true,false,false,true,Keine Bemerkung,true,false,0,204,,1.3.2017,,,,false,false,false,false,true,false,true,8,12.6,7.88,false,true,true,false,false,true,3,true,4,true,false,true,4,true,false,66,18,false,7.8.2004,true,true
45.45.49.196/23,6 Fisk Pass,Wisconsin,53710,WI,Madison,1,true,12.26,,663,Strasse,Ziegel,400,400,HPW KAR Karow Pankgrafenstr.,false,true,true,false,true,false,false,"",false,true,3,1990,,27.2.2016,,,,false,false,true,false,true,false,false,37,24.5,6.78,true,true,false,false,false,true,3,false,1,false,true,false,43,true,true,45,27,false,12.12.1994,false,true
177.43.50.144/8,5 Redwing Court,West Virginia,25709,WV,Huntington,1,false,6.87,,1193,Fahrbahn,Stein,100,400,HPW SCHOE Schöneberg Königstr.,true,true,true,false,false,false,true,Keine Bemerkung,false,true,3,1992,,23.3.2016,,,,true,false,true,false,true,false,false,34,6.3,8.61,true,true,false,true,false,false,4,false,4,true,false,true,23,false,true,11,59,true,27.8.2008,true,false
168.168.76.207/14,6166 Susan Crossing,Texas,77080,TX,Houston,1,true,15.3,,344,Gehweg,Mauerwerk,200,200,HPW KAR Karow Pankgrafenstr.,false,true,true,true,false,true,false,Keine Bemerkung,true,false,1,1995,,21.9.2015,,,,true,false,true,false,true,false,false,86,13.2,26.11,false,true,false,true,false,false,5,false,5,false,true,false,27,false,true,61,24,false,8.8.2007,false,true
132.18.2.66/18,449 Oak Way,Georgia,31914,GA,Columbus,0,false,6.93,,2249,Gehweg,Stein,100,500,HPW SCHOE Schöneberg Königstr.,true,false,false,true,true,true,true,Etwas nötig,true,false,0,1990,,1.8.2015,,,,true,false,true,true,false,false,false,23,27.7,11.66,true,false,false,false,true,true,0,false,5,true,true,false,43,true,true,79,89,true,21.11.2008,false,false
179.114.133.94/1,473 Dryden Point,Iowa,50330,IA,Des Moines,1,true,12.34,,289,Strasse,Beton,400,200,HPW WEG Wedding Otawistr.,true,false,false,false,false,true,true,Schlecht,true,true,3,1992,,2.12.2016,,,,false,false,false,true,true,false,true,69,27.9,11.48,true,true,false,true,false,false,5,true,3,true,false,false,42,false,true,59,79,false,10.2.1999,true,false
179.52.15.143/2,7 Hooker Center,Pennsylvania,16505,PA,Erie,1,false,16.21,,2114,Industrie,Mauerwerk,300,400,HPW SCHOE Schöneberg Königstr.,true,true,true,false,false,true,true,Schlecht,false,false,0,1999,,17.11.2015,,,,false,true,true,false,true,true,false,42,11.4,14.34,false,true,false,false,true,true,1,true,1,true,true,false,5,false,false,19,0,true,15.9.1991,false,true
15.156.148.17/23,3954 Cambridge Terrace,Virginia,23237,VA,Richmond,1,true,0.5,,441,Gehweg,Mauerwerk,300,300,HPW SCHOE Schöneberg Königstr.,true,false,false,true,true,true,true,Keine Bemerkung,false,false,4,1992,,14.10.2016,,,,true,true,false,true,false,true,false,79,17.3,19.96,true,false,false,true,false,true,1,true,0,false,false,true,6,false,true,72,100,false,27.10.1990,false,false
74.244.177.251/31,38 Aberg Park,Florida,32505,FL,Pensacola,0,true,13.97,,1954,Strasse,Stein,200,400,HPW SCHOE Schöneberg Königstr.,false,false,false,true,false,true,true,Schlecht,false,false,4,1990,,26.5.2017,,,,true,true,true,false,true,false,false,54,18.3,11.93,true,false,true,true,false,false,5,true,1,true,true,false,9,true,true,38,53,true,13.8.2005,false,false
59.223.151.71/12,65687 Waubesa Pass,Nevada,89135,NV,Las Vegas,1,false,5.82,,1685,Industrie,Beton,500,100,HPW SCHOE Schöneberg Königstr.,true,false,false,true,false,false,false,"",false,false,1,204,,3.1.2017,,,,false,true,true,false,true,false,false,33,12.9,26.87,true,false,false,false,true,false,0,true,5,false,true,false,36,false,false,32,32,false,8.9.2004,false,false
26.22.151.185/9,528 Waubesa Trail,Kansas,66276,KS,Shawnee Mission,0,false,4.39,,1013,Industrie,Beton,200,200,HPW WEG Wedding Otawistr.,false,true,true,true,false,true,true,Schlecht,true,false,0,1999,,5.4.2017,,,,false,false,true,true,true,false,false,60,19.8,19.91,true,true,false,true,true,true,0,true,5,false,false,true,29,false,true,17,84,false,10.10.1993,true,false
